"id","elevation_m","slope_deg","cos_aspect","cti","ndvi"
43,211.1069946,11.3241396,-0.987379961,2.347558975,0.32
44,205.9232483,11.10157013,-0.252630064,2.304975986,0.34210526
45,201.1690063,10.50870991,0.976906233,2.385752916,0.31543624
46,196.7922516,10.5178299,-0.793918248,2.221442938,0.21985816
47,192.3890076,13.25879955,-0.94529855,2.080756903,0.16312057
48,185.2227478,18.14757919,0.414425281,2.443840027,0.11888112
49,175.4422455,19.30195045,-0.970686217,3.160264015,0.125
50,166.8602448,15.65485954,0.733528058,3.634320974,0.21621622
51,161.303009,10.54928017,0.787627319,4.896958828,0.32515337
52,158.5107422,7.546278,0.669128534,3.285603046,0.38888889
53,156.0412445,2.803122044,-0.081160701,12.54444027,0.37647059
54,158.3070068,7.991166115,0.394434674,4.909665108,0.36912752
55,163.1625061,14.70158958,0.618511804,3.994184017,0.39259259
56,170.8682556,17.84659004,-0.935192657,3.587246895,0.36507937
57,179.0502472,19.28985023,-0.223369042,3.17167902,0.296
58,188.4202576,20.27351952,-0.538021934,2.282577991,0.24369748
59,197.7827454,15.81737995,0.474204582,1.833199978,0.28985507
60,172.4680023,14.9489603,0.012878439,5.114474773,0.32894737
61,175.0319977,19.40035057,-0.010370343,4.722279072,0.34193548
62,178.9584961,22.17592049,-0.268026103,5.00676918,0.34857143
63,182.9660034,23.96795082,-0.060354696,4.309138775,0.31891892
64,188.6442566,25.17654037,0.461971917,2.758207083,0.28961749
65,195.3930054,24.91268921,0.358052591,2.813477039,0.23809524
66,202.3752441,23.1366291,0.998046419,2.400963068,0.19745223
67,208.4077454,18.72314072,-0.654445615,1.613443017,0.18987342
68,210.4647522,13.4863596,0.423494635,2.018583059,0.20754717
69,208.3712463,11.38187027,0.879167087,2.908062935,0.275
70,204.8305054,9.972084999,-0.88964959,2.316380978,0.2804878
71,201.0017395,8.925290108,0.873820485,2.419137001,0.24528302
72,197.1674957,9.820409775,-0.83462672,3.037322044,0.20547945
73,192.1097412,14.12520981,0.988427766,3.551166058,0.18055556
74,184.3110046,18.98218918,0.735828622,3.429510117,0.15646259
75,174.8567505,20.11899948,-0.203934472,3.831984043,0.18954248
76,165.6750031,16.5571003,0.361929626,4.174054146,0.28484848
77,159.6177368,10.40964031,0.540585046,4.772162914,0.38202247
78,156.8417511,6.465097904,0.952529252,6.266331196,0.40659341
79,154.8535004,2.655740023,-0.999252536,12.64134979,0.38095238
80,158.5502472,11.81952953,0.999989947,4.778557777,0.3877551
81,165.616745,15.87148952,-0.435063402,3.964109898,0.37878788
82,172.5899963,15.94610977,0.124821236,3.850119114,0.35433071
83,179.4827576,17.88142967,0.747260979,3.088964939,0.328
84,188.9272461,20.21569061,-0.956229786,2.386240005,0.29508197
85,198.3397522,14.5639801,0.156811726,2.088361025,0.32846715
86,201.7454987,5.642161846,-0.102558296,3.831319094,0.41463415
87,202.2952576,2.51808095,-0.472668369,3.696558952,0.43181818
88,201.9117432,1.698390961,-0.998933923,4.349612236,0.36470588
89,201.134491,3.210308075,0.610860253,3.417954922,0.325
90,199.5224915,7.616473198,-0.994369952,3.525823116,0.24657534
91,194.9567566,12.1445303,-0.057129339,4.477933884,0.20895522
92,188.8927612,13.11905003,0.799709361,4.338803768,0.2
93,170.9937439,12.00317001,-0.84180945,9.898386002,0.37062937
94,169.1012573,3.849039078,0.690243388,11.04878044,0.26315789
95,168.5944977,5.725440979,-0.033625688,10.97194958,0.31543624
96,170.7839966,12.82701969,0.563699181,5.532721996,0.39772727
97,173.8062439,17.81364059,0.360969114,4.885240078,0.37016575
98,178.9339905,21.7030201,0.846589932,3.308090925,0.28323699
99,185.8424988,23.8008709,-0.999801121,3.101583004,0.20238095
100,193.0749969,23.64977074,-0.632454213,2.093651056,0.15337423
